Credgenics - Analog Legalhub Technology Solutions Private Limited,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Other Expenses,,,,,,,8.98
Expenses,,,,,,,13.06
Assets,,,,,,,23.27
Revenue Growth (%),,,,,,,NA
EBITDA Margin (%),,,,,,,-124
Net Margin (%),,,,,,,-113.2
Return on Capital Employed (%),,,,,,,-33
Profit/Loss,,,,,,,-6.6
,,,,,,,
,,,,,,,
,,,,,,,
CLXNS TECHNOLOGIES PRIVATE LIMITED,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,,,,0,4.26,3.3,5.62
Employee Benefit Expenses,,,,0,2.61,2.74,3.83
Other Expenses,,,,0.01,1.49,2.65,3.35
Expenses,,,,0.01,4.11,5.39,7.18
Assets,,,,0.05,1.64,3.67,1.99
Revenue Growth (%),,,,NA,NA,-22.6,70.5
EBITDA Margin (%),,,,NA,3.5,-63.3,-27.7
Net Margin (%),,,,NA,3.5,-71.5,-32.8
Return on Capital Employed (%),,,,-13.1,15.4,-72.4,-134.8
Profit/Loss,,,,0,0.15,-2.36,-1.84
,,,,,,,
,,,,,,,
,,,,,,,
EDGECRAFT SOLUTIONS PRIVATE LIMITED,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,0,0.01,0.03,0.16,1.43,5.11,9.5
Employee Benefit Expenses,0,0.03,0.01,0.01,0.38,1.91,5.67
Other Expenses,0.02,0.08,0.03,0.11,1.01,2.61,4.23
Expenses,0.02,0.11,0.05,0.12,1.39,4.52,9.89
Assets,0.04,0.08,0.05,0.2,8.58,9.78,10.77
Revenue Growth (%),NA,NA,250.9,449.3,810.5,257,85.9
EBITDA Margin (%),NA,-1239.8,-60.8,23.3,2.6,11.5,-4.2
Net Margin (%),NA,-941.5,-63.3,29.1,2.3,13.9,5.6
Return on Capital Employed (%),-61.2,-95.2,-35.8,42.6,0.5,10.8,7.5
Profit/Loss,-0.02,-0.08,-0.02,0.05,0.03,0.71,0.54
,,,,,,,
,,,,,,,
,,,,,,,
Decentro - NEOWISE TECHNOLOGIES PRIVATE LIMITED,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,,,,0,0.02,0.07,0.76
Employee Benefit Expenses,,,,0.01,0.27,0.36,0.87
Other Expenses,,,,0.05,0.4,0.23,0.42
Expenses,,,,0.07,0.68,0.1,1.3
Assets,,,,0.02,0.42,0.6,0.47
Revenue Growth (%),,,,NA,NA,337.1,1059.8
EBITDA Margin (%),,,,NA,-4401.4,-51.8,-70.4
Net Margin (%),,,,NA,-4376.3,-54.8,-102.6
Return on Capital Employed (%),,,,-623.5,-167.7,-6.7,-61.7
Profit/Loss,,,,-0.07,-0.66,-0.04,-0.78
,,,,,,,
,,,,,,,
,,,,,,,
Saarthi AI - GAMUT ANALYTICS PRIVATE LIMITED,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,0.01,0.35,0.05,0.14,0.67,2.97,
Employee Benefit Expenses,0,0.17,0.35,0.82,2.75,13.61,
Other Expenses,0.25,0.18,0.12,0.43,2.23,11.3,
Expenses,0.25,0.35,0.47,1.26,4.98,24.92,
Assets,0.02,0.02,0.26,0.19,1.17,4.76,
Revenue Growth (%),-,4261.1,-84.5,155.3,387.9,341.3,
EBITDA Margin (%),-3044.6,-0.1,-770.8,-812,-640.7,-740.4,
Net Margin (%),-3047.7,-1,-698.8,-810.4,-718.2,-757.9,
Return on Capital Employed (%),-1302.3,-18.5,-,-,-3675,-,
Profit/Loss,-0.24,0,-0.38,-1.12,-4.83,-22.47,
,,,,,,,
,,,,,,,
,,,,,,,
MARG FINTECH PRIVATE LIMITED,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,,,0,1.02,0.63,0.39,0.06
Employee Benefit Expenses,,,0,0.05,1.87,1.22,0.04
Other Expenses,,,0,1.88,2.25,0.99,0.33
Expenses,,,0,1.94,4.12,2.22,0.37
Assets,,,0.18,18.61,15.77,16.3,16.64
Revenue Growth (%),,,-,-,-38.3,-37.3,-84.9
EBITDA Margin (%),,,-,-90.3,-557,-462.9,-517.4
Net Margin (%),,,-,-69.1,-352.5,-243.4,747.7
Return on Capital Employed (%),,,-1.6,-5.4,-18,-7.6,3.3
Profit/Loss,,,0,-0.7,-2.21,-0.96,0.45
,,,,,,,
,,,,,,,
,,,,,,,
MoneyTor - AGGRA TECHNOLOGIES PRIVATE LIMITED,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,0,0.75,1.66,1.24,1.51,2.9,1.74
Employee Benefit Expenses,0.12,1.29,1.1,1.04,1.11,2.01,2.69
Other Expenses,0.35,0.92,2.23,0.55,0.91,2.91,2.5
Expenses,0.47,2.21,3.33,1.58,2.01,4.92,5.2
Assets,1.61,1.35,1.33,0.95,1.08,5.87,4.13
Revenue Growth (%),-,-,121.2,-25.1,22,91.4,-40
EBITDA Margin (%),-,-194.1,-100.9,-27.6,-33.1,-69.8,-198.8
Net Margin (%),-,-194.2,-105,-34,-38.7,-72.5,-210.6
Return on Capital Employed (%),-29.3,-113.3,-134.8,-56.1,-190.9,-,-
Profit/Loss,-0.45,-1.46,-1.74,-0.42,-0.59,-2.1,-3.66
,,,,,,,
,,,,,,,
,,,,,,,
CANPE SOLUTIONS INDIA PRIVATE LIMITED,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,,,,0.34,0.34,0.52,0.25
Employee Benefit Expenses,,,,0.37,1.49,1.43,0.36
Other Expenses,,,,0.01,0.35,0.46,0.09
Expenses,,,,0.39,1.84,1.89,0.44
Assets,,,,0.03,1.93,0.66,0.44
Revenue Growth (%),,,,-,0.3,53.9,-51
EBITDA Margin (%),,,,-14.7,-446.3,-265.8,-74.9
Net Margin (%),,,,-15.1,-446.3,-265.5,-74.1
Return on Capital Employed (%),,,,-,-80.4,-278.9,-61.6
Profit/Loss,,,,-0.05,-1.5,-1.37,-0.19
,,,,,,,
,,,,,,,
,,,,,,,
ZAPFIN TEKNOLOGIES PRIVATE LIMITED,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,,0.01,0.8,1.01,2,3.24,3.8
Employee Benefit Expenses,,0,0.15,0.18,0.24,0.73,0.22
Other Expenses,,0.05,0.57,0.63,1.38,1.94,3.1
Expenses,,0.01,0.8,1.01,2,3.24,3.32
Assets,,0.36,1.5,1.55,1.59,1.71,1.89
Revenue Growth (%),,,5524,25.7,98.2,62,17.1
EBITDA Margin (%),,-274.7,11.5,19.5,18.9,17.5,12.5
Net Margin (%),,-311.5,2.3,0.5,0.1,3.9,2.2
Return on Capital Employed (%),,-12,14.4,2.2,-1.3,10.6,8.9
Profit/Loss,,-0.04,0.02,0,0,0.13,0.08
,,,,,,,
,,,,,,,
,,,,,,,
Credility - I-XL TECHNOLOGIES PRIVATE LIMITED,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,0,0,0,0,1.1,5.16,7.33
Employee Benefit Expenses,0,0,0,0,0.13,3.37,5.7
Other Expenses,0,0,0,0,0.81,1.52,1.86
Expenses,0,0,0,0,0.94,4.89,7.56
Assets,0.02,0.02,0.03,0.03,0.9,1.41,3.64
Revenue Growth (%),,11.1,0,33.3,27426.1,368.7,42.1
EBITDA Margin (%),22.2,0.1,1.8,2.7,14.7,5.3,-3.1
Net Margin (%),0,0.1,1.3,2,8.2,0.1,-6.5
Return on Capital Employed (%),2.9,0,0.3,0.5,81.1,94.3,NA
Profit/Loss,0,0,0,0,0.09,0.01,-0.48
,,,,,,,
,,,,,,,
,,,,,,,
STATLABS ANALYTICS VENTURES PRIVATE LIMITED,,,,,,,
,31-Mar-18,31-Mar-19,31-Mar-20,31-Mar-21,31-Mar-22,31-Mar-23,31-Mar-24
Revenue,,,0.13,0.53,1.26,4.74,11.82
Employee Benefit Expenses,,,0.16,0.42,0.9,5.37,9.38
Other Expenses,,,0.09,0.56,2.53,5.09,6.95
Expenses,,,0.26,0.98,3.43,10.46,16.33
Assets,,,0.25,1.19,2.67,4.25,8.23
Revenue Growth (%),,,-,293.3,138.9,276.7,149.3
EBITDA Margin (%),,,-90.7,-86.4,-172.9,-120.7,-38.2
Net Margin (%),,,-70.7,-69.8,-177.6,-125.2,-38.4
Return on Capital Employed (%),,,-67.7,-51.2,-107.3,-358.2,-444.5
Profit/Loss,,,-0.09,-0.37,-2.23,-5.93,-4.54
,,,,,,,
